bucket,cohort,denominator,denominator_kind,metric,section,share,slot,split,value
10-99,F_and_A_V1,74724,concrete_target_components_only,component_count,heldout_target_component_training_support,0.007373802258979712,add_predicate,test,551
>=100,F_and_A_V1,74724,concrete_target_components_only,component_count,heldout_target_component_training_support,0.9912477918740967,add_predicate,test,74070
role_reference,F_and_A_V1,81519,all_populated_target_components,component_count,heldout_target_component_training_support,0.08335480072130423,add_predicate,test,6795
0,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,add_subject,test,0
1-9,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,add_subject,test,0
10-99,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,add_subject,test,0
>=100,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,add_subject,test,0
role_reference,F_and_A_V1,81519,all_populated_target_components,component_count,heldout_target_component_training_support,1.0,add_subject,test,81519
0,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_object,test,0
1-9,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_object,test,0
10-99,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_object,test,0
>=100,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_object,test,0
role_reference,F_and_A_V1,108336,all_populated_target_components,component_count,heldout_target_component_training_support,1.0,del_object,test,108336
0,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_predicate,test,0
1-9,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_predicate,test,0
10-99,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_predicate,test,0
>=100,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_predicate,test,0
role_reference,F_and_A_V1,108336,all_populated_target_components,component_count,heldout_target_component_training_support,1.0,del_predicate,test,108336
0,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_subject,test,0
1-9,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_subject,test,0
10-99,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_subject,test,0
>=100,F_and_A_V1,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_subject,test,0
role_reference,F_and_A_V1,108336,all_populated_target_components,component_count,heldout_target_component_training_support,1.0,del_subject,test,108336
0,F_and_A_V1,132558,concrete_target_components_only,component_count,heldout_target_component_training_support,7.543867590036059e-06,overall,test,1
1-9,F_and_A_V1,132558,concrete_target_components_only,component_count,heldout_target_component_training_support,0.008396324627710134,overall,test,1113
10-99,F_and_A_V1,132558,concrete_target_components_only,component_count,heldout_target_component_training_support,0.03160880520225109,overall,test,4190
>=100,F_and_A_V1,132558,concrete_target_components_only,component_count,heldout_target_component_training_support,0.9599873263024488,overall,test,127254
role_reference,F_and_A_V1,569565,all_populated_target_components,component_count,heldout_target_component_training_support,0.7672644913223249,overall,test,437007
0,F_and_A_V1,57710,concrete_target_components_only,component_count,heldout_target_component_training_support,0.0,add_object,val,0
1-9,F_and_A_V1,57710,concrete_target_components_only,component_count,heldout_target_component_training_support,0.01666955466990123,add_object,val,962
10-99,F_and_A_V1,57710,concrete_target_components_only,component_count,heldout_target_component_training_support,0.06089066019753942,add_object,val,3514
>=100,F_and_A_V1,57710,concrete_target_components_only,component_count,heldout_target_component_training_support,0.9224397851325593,add_object,val,53234
role_reference,F_and_A_V1,81424,all_populated_target_components,component_count,heldout_target_component_training_support,0.29124091177048533,add_object,val,23714
0,F_and_A_V1,74678,concrete_target_components_only,component_count,heldout_target_component_training_support,2.6781649213958597e-05,add_predicate,val,2
1-9,F_and_A_V1,74678,concrete_target_components_only,component_count,heldout_target_component_training_support,0.0016068989528375158,add_predicate,val,120
10-99,F_and_A_V1,74678,concrete_target_components_only,component_count,heldout_target_component_training_support,0.007847023219689869,add_predicate,val,586
>=100,F_and_A_V1,74678,concrete_target_components_only,component_count,heldout_target_component_training_support,0.9905192961782586,add_predicate,val,73970
